,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
97,frozenset({29}),frozenset({27}),0.10417505705463821,0.014364344207276145,0.001879446905624916,0.01804123711340206,1.2559736005395508,0.0003830405282794617,1.003744447368968
98,frozenset({60}),frozenset({29}),0.0025506779433481005,0.10417505705463821,0.0006712310377231843,0.2631578947368421,2.5261123168746606,0.00040551401744688865,1.2157624225687051
99,frozenset({29}),frozenset({60}),0.10417505705463821,0.0025506779433481005,0.0006712310377231843,0.006443298969072164,2.52611231687466,0.00040551401744688865,1.0039178650012475
100,frozenset({32}),frozenset({30}),0.00644381796214257,0.004832863471606927,0.0005369848301785474,0.08333333333333333,17.243055555555557,0.000505842737731624,1.0856368762127924
101,frozenset({30}),frozenset({32}),0.004832863471606927,0.00644381796214257,0.0005369848301785474,0.11111111111111112,17.243055555555557,0.000505842737731624,1.1177507047925896
102,frozenset({32}),frozenset({38}),0.00644381796214257,0.045509464357631896,0.0005369848301785474,0.08333333333333333,1.8311209439528022,0.00024373012630335195,1.041262402518947
103,frozenset({38}),frozenset({32}),0.045509464357631896,0.00644381796214257,0.0005369848301785474,0.011799410029498525,1.8311209439528022,0.00024373012630335195,1.0054195394353242
104,frozenset({33}),frozenset({38}),0.010873942811115585,0.045509464357631896,0.0006712310377231843,0.06172839506172839,1.3563858844094832,0.00017636372493379194,1.0172859656188398
105,frozenset({38}),frozenset({33}),0.045509464357631896,0.010873942811115585,0.0006712310377231843,0.014749262536873156,1.3563858844094834,0.00017636372493379194,1.0039333334941072
106,frozenset({34}),frozenset({44}),0.015169821452543966,0.03195059739562357,0.0005369848301785474,0.035398230088495575,1.1079051089462333,5.22999723848216e-05,1.0035741513238032
107,frozenset({44}),frozenset({34}),0.03195059739562357,0.015169821452543966,0.0005369848301785474,0.01680672268907563,1.1079051089462333,5.22999723848216e-05,1.0016648824542502
108,frozenset({34}),frozenset({47}),0.015169821452543966,0.0873942811115586,0.0013424620754463685,0.08849557522123894,1.0126014436605357,1.6706435010588978e-05,1.0012082158679019
109,frozenset({47}),frozenset({34}),0.0873942811115586,0.015169821452543966,0.0013424620754463685,0.015360983102918585,1.0126014436605357,1.6706435010588978e-05,1.0001941438914101
110,frozenset({34}),frozenset({52}),0.015169821452543966,0.0178547456034367,0.0008054772452678212,0.05309734513274336,2.9738505555925214,0.000534623942383092,1.0372188200636603
111,frozenset({52}),frozenset({34}),0.0178547456034367,0.015169821452543966,0.0008054772452678212,0.04511278195488722,2.9738505555925214,0.000534623942383092,1.031357588557572
112,frozenset({56}),frozenset({34}),0.03275607464089139,0.015169821452543966,0.0006712310377231843,0.020491803278688527,1.3508269258668215,0.0001743272339346587,1.0054333203580723
113,frozenset({34}),frozenset({56}),0.015169821452543966,0.03275607464089139,0.0006712310377231843,0.04424778761061947,1.3508269258668215,0.0001743272339346587,1.0120237367183267
114,frozenset({53}),frozenset({38}),0.014095851792186871,0.045509464357631896,0.0006712310377231843,0.047619047619047616,1.046354825115887,2.9736372996194194e-05,1.0022150624244865
115,frozenset({38}),frozenset({53}),0.045509464357631896,0.014095851792186871,0.0006712310377231843,0.014749262536873156,1.046354825115887,2.9736372996194194e-05,1.0006631923426605
116,frozenset({47}),frozenset({39}),0.0873942811115586,0.005504094509330111,0.0005369848301785474,0.006144393241167435,1.1163313476452736,5.5958447365565486e-05,1.0006442573020495
117,frozenset({39}),frozenset({47}),0.005504094509330111,0.0873942811115586,0.0005369848301785474,0.0975609756097561,1.1163313476452736,5.5958447365565486e-05,1.0112657966061107
118,frozenset({53}),frozenset({39}),0.014095851792186871,0.005504094509330111,0.0005369848301785474,0.03809523809523809,6.921254355400697,0.00045939992972484066,1.0338818819457458
119,frozenset({39}),frozenset({53}),0.005504094509330111,0.014095851792186871,0.0005369848301785474,0.0975609756097561,6.921254355400697,0.00045939992972484066,1.0924883804464955
120,frozenset({56}),frozenset({43}),0.03275607464089139,0.008457511075312122,0.0005369848301785474,0.01639344262295082,1.938329430132709,0.00025994996611945797,1.0080681970734326
